name,calories,price
1/2個分の白桃＆ホイップサンド,323,430
1/2日分の野菜が摂れる　あんかけ焼そば,534,599
1/2日分の野菜が摂れる　焼ビーフン,334,538
1食分の野菜ちゃんぽん,311,599
6種のフルーツ味わうパウンドケーキ,238,238
BLTEサンド,207,430
MGAスペシャルミックスサンド,466,451
MILKふわもちパンケーキ　2個入,411,171
MILKふんわりホイップデニッシュ,379,160
NL　もちもちとした白いパン　ハム＆チーズ　2個入,74,149
NL　もっちりとしたパン　チーズクリーム＆ダブルベリー　2個入,113,181
NL　もっちりとしたマーガリンサンド　2個入,135,160
NL　バランスサポートブレッド　チョコ＆バナナ　2個入,237,214
NL　ブランパン　2個入　〜乳酸菌入〜,66,149
NL　ブランパン　4個入　〜乳酸菌入〜,66,279
NL　ブラン入り食パン　4枚入　〜乳酸菌入〜,111,189
ROLLサンド　タコスミート,294,397
ROLLサンド　生ハムマスカルポーネ,253,397
あずき落花生×すりごま落花生,491,348
あらびきウインナー＆カレー,411,171
あらびきソーセージパン,284,149
あらびきチョリソーパン,213,160
あらびきポークフランクロール,306,181
あんかけ焼そば,394,430
いちご,37,279
うずまきロールケーキ,407,171
おにぎりおかずセット(シーチキン®マヨネーズ・鮭),525,448
おろしポン酢で食べる　豚しゃぶサラダ,82,297
からあげクン　さわやかレモン味,242,259
からあげクン　すだちぽん酢味,237,268
からあげクン　ガーリックペッパー味,238,268
からあげクン　レギュラー,226,259
からあげクン　レッド,225,259
からあげクン　レッド3倍味　BOX(20個入り),904,350
からあげクン　北海道チーズ,249,259
かるほろ焼きチョコ,207,268
くちどけショコラクレープ,271,248
こだわりおだし　北海道産たらこ,433,538
こだわりおだし　豚しゃぶとオクラ,444,599
こだわりおだし　醤油きのこ,503,538
こんがりコーンマヨネーズパン,366,171
こんがりチーズのハムデニッシュ,289,171
こんがりチーズのベーコンマヨネーズ,421,149
こんがりチーズの大盛りグラタン,347,419
こんがり焼おにぎり,178,232
ごまと香味野菜ドレッシング,39,38
ごろっとした1/2個分桃のタルト,290,346
ごろっと野菜のペペロンチーノ,360,397
さっくり食感のバタースティックパイ　4本入,159,181
ざるそば,356,451
しっとりふんわりバウムクーヘン,424,238
しっとり五三焼カステラ,122,348
じゅわバタ塩メロンパン,470,160
すりおろしオニオンドレッシング,81,35
そのまま食べて欲しい　贅沢食パン　2枚,316,225
そのまま食べて欲しい　贅沢食パン　4枚,316,408
そば　つゆ付,284,151
たけのこと豚肉の五目春巻,145,100
たっぷり食物繊維が摂れる　枝豆と塩昆布おにぎり(国産もち麦入り),172,181
たっぷり食物繊維が摂れる　梅しそごはんおにぎり(国産もち麦入り),170,181
たまごサラダパン,284,149
たまごサンド,297,297
たんぱく質が摂れる　国産豚肉のサラダ,284,497
たんぱく質が摂れる　国産鶏むね肉のサラダ,206,497
だしおにぎり(おかか),184,138
だしおにぎり(半切梅),175,138
つぶあんぱん,329,138
つぶあんぱん　4個入,124,171
つるっとなめらか杏仁豆腐,144,200
てりやきハンバーガー,318,192
とろ〜り　たこ焼,326,354
とろ〜り白いチーズパン,352,181
とろけるレアチーズ,173,308
とろサクエッグタルト,232,270
とろサクチーズタルト,239,300
どらもっち(あんこ＆ホイップ),252,200
